"id_dept","id_instansi","nama_departemen"
"84002","414","S3 - Pendidikan Matematika"
"49201","380","S2 - Matematika"
"u5978882","444","Unknown"
"57101","6","S2 - Sistem Informasi"
"49101","417","S2 - Statistika"
"u5998834","384","Unknown"
"61001","1135","S3 - Manajemen"
"84202","1418","S1 - Pendidikan Matematika"
"u6648519","430","Unknown"
"49001","417","S3 - Ilmu Statistik"
"84205","583","S1 - Pendidikan Biologi"
"u6736382","8244516","Unknown"
"u6031353","428","Unknown"
"84102","440","S2 - Pendidikan Matematika"
"u6102394","405","Unknown"
"46105","481","S2 - Manajemen Sumber Daya Hayati"
"94203","430","S1 - Ilmu Aktuaria"
"57401","540","D3 - Manajemen Informatika"
"u5976031","428","Unknown"
"u29080","417","Unknown"
"87001","414","S3 - Pendidikan Ilmu Pengetahuan Sosial"
"44201","436","S1 - Matematika"
"86132","8244628","S2 - Pendidikan Guru Madrasah Ibtidaiyah"
"44001","398","S3 - Matematika dan Ilmu Pengetahuan Alam"
"86206","515","S1 - Pendidikan Guru Sekolah Dasar"
"61201","2106","S1 - Manajemen"
"55201","500","S1 - Ilmu Komputer"
"87003","8","S3 - Pendidikan Ekonomi"
"14201","1561","S1 - Ilmu Keperawatan"
"60001","491","S3 - Ilmu Ekonomi"
"54201","8425","S1 - Agribisnis"
"55002","6","S3 - Sistem Informasi"
"86020","381","S3 - Penelitian Dan Evaluasi Pendidikan"
"59201","1659","S1 - Sistem Informasi"
"49401","9","D3 - Statistika Terapan dan Komputasi"
"20201","1093","S1 - Teknik Elektro"
"u6669493","3514","Unknown"
"26201","438","S1 - Teknik Industri"
"49102","428","S2 - Statistika Terapan"
"44101","417","S2 - Matematika"
"49501","4328","D4 - Statistika"
"u6031489","428","Unknown"
"87203","9","S1 - Pendidikan Ekonomi"
"55102","8339","S2 - Teknik Informatika"
"87103","435","S2 - Pendidikan Ekonomi"
"86230","2108","S1 - Pendidikan Agama Islam"
"63211","1093","S2 - Administrasi Bisnis"
"22401","2783","D3 - Teknik Sipil"
"57302","4478","D4 - Rekayasa Keamanan Siber"
"57201","477","S1 - Sistem Informasi"
"u6822589","4482","Unknown"
"u6004869","428","Unknown"
"83207","551","S1 - Pendidikan Teknologi Informasi"
"85001","9","S3 - Pendidikan Olahraga"
"55401","1999","D3 - Teknologi Informasi"
"94409","430","D3 - Administrasi Asuransi & Aktuaria"
"u6050628","509","Unknown"
"86904","54","Profesi - Pendidikan Profesi Guru"
"u5975444","428","Unknown"
"86208","2528","S1 - Pendidikan Agama Islam"
"55202","388","S1 - Teknik Informatika (Kampus Kota Malang)"
"74236","3543","S1 - Manajemen Zakat dan Wakaf"
"86104","1394","S2 - Administrasi Pendidikan"
"54001","586","S3 - Ilmu Pertanian"
"54231","475","S1 - Peternakan"
"86131","3549","S2 - Manajemen Pendidikan Islam"
"62201","1319","S1 - Akuntansi"
"58302","564","D4 - Teknologi Rekayasa Perangkat Lunak"
"54246","6","S1 - Perikanan Tangkap"
"46203","1122","S1 - Bio Medis dan Rekayasa Hayati"
"87210","414","S1 - Pendidikan Bisnis"
"54371","447","D4 - Budidaya Tanaman Perkebunan"
"63311","567","D4 - Administrasi Bisnis Internasional"
"13462","2524","D3 - Rekam Medik"
"73201","586","S1 - Psikologi"
"54261","433","S1 - Pendidikan Dokter Hewan"
"62401","435","D4 - Akuntansi Sektor Publik"
"22201","592","S1 - Teknik Sipil"
"u6001867","3511","Unknown"
"24201","527","S1 - Teknik Kimia"
"61101","1154","S2 - Manajemen"
"60202","1114","S1 - Ekonomi Syariah"
"36301","550","D4 - Teknik Desain Dan Manufaktur"
"21201","477","S1 - Teknik Mesin"
"u6745644","391","Unknown"
"88203","9","S1 - Pendidikan Bahasa Inggris"
"26401","1417","D3 - Teknik Industri"
"20302","12","D4 - Teknik Telekomunikasi"
"54211","1888","S1 - Agroteknologi"
"73101","1068","S2 - Psikologi"
"u6012237","6","Unknown"
"u6017064","442","Unknown"
"14401","2043","D3 - Keperawatan"
"34201","1891","S1 - Teknik Geologi"
"54471","447","D3 - Produksi Tanaman Perkebunan"
"85202","497","S1 - Pendidikan Kepelatihan Olahraga"
"54204","406","S1 - Agronomi"
"93402","2492","D3 - Perhotelan"
"55101","20","S2 - Teknik Informatika"
"u6041224","497","Unknown"
"u6200713","433","Unknown"
"u6005385","385","Unknown"
"54251","2123","S1 - Kehutanan"
"94406","8348","D3 - Seni Kuliner"
"62402","433","D3 - Perpajakan"
"u6038606","428","Unknown"
"60201","1392","S1 - Ekonomi Pembangunan"
"u6659126","4823","Unknown"
"11201","440","S1 - Pendidikan Dokter"
"48201","1392","S1 - Farmasi"
"u5987353","9","Unknown"
"u6006237","436","Unknown"
"u6800780","2707","Unknown"
"86203","2561","S1 - Teknologi Pendidikan"
"23201","4766","S1 - Arsitektur"
"58201","2007","S1 - Rekayasa Perangkat Lunak"
"u6726242","8160","Unknown"
"14901","1061","Profesi - Pendidikan Profesi Ners"
"u6809319","4328","Unknown"
"49202","380","S1 - Teknologi Sains Data"
"u6337507","444","Unknown"
"84203","422","S1 - Pendidikan Fisika"
"u6032439","1868","Unknown"
"24402","4462","D3 - Analisis Kimia"
"86103","2077","S2 - Teknologi Pendidikan"
"u6101387","4480","Unknown"
"u5998478","417","Unknown"
"u6124154","8244538","Unknown"
"u6046657","444","Unknown"
"86108","4106","S2 - Pendidikan Agama Kristen"
"49502","4328","D4 - Komputasi Statistik"
"u6822323","2053","Unknown"
"84204","2910","S1 - Pendidikan Kimia"
"57481","1290","D3 - Sistem Informasi"
"14203","481","S1 - Keperawatan K. Pangandaran"
"u6708587","4328","Unknown"
"13261","2226","S1 - Administrasi Rumah Sakit"
"46201","2375","S1 - Biologi"
"20301","413","D4 - Teknik Elektronika"
"60206","8244001","S1 - Perbankan Syariah"
"61281","412","S1 - Manajemen (Kampus Kota Madiun)"
"u6648037","430","Unknown"
"u6667648","385","Unknown"
"62301","546","D4 - Akuntansi Manajerial"
"86201","3134","S1 - Bimbingan Dan Konseling"
"93301","2450","D4 - Manajemen Pariwisata"
"14301","4413","D4 - Keperawatan"
"86207","1089","S1 - Pendidikan Guru Pendidikan Anak Usia Dini"
"24504","8333","D2 - Teknik Pembuatan Benang"
"u6027192","497","Unknown"
"u6688689","444","Unknown"
"67201","201","S1 - Ilmu Politik"
"56402","1290","D3 - Teknologi Komputer"
"u6090518","9","Unknown"
"u6697179","3543","Unknown"
"u6801361","428","Unknown"
"62202","3521","S1 - Akuntansi Syariah"
"57402","1579","D3 - Komputerisasi Akuntansi"
"59001","4479","S3 - Ilmu Pertahanan"
"85201","2914","S1 - Pendidikan Jasmani, Kesehatan dan Rekreasi"
"u6006396","428","Unknown"
"94205","1686","S1 - Perdagangan Internasional"
"55281","2401","S1 - Informatika"
"26301","4460","D4 - Teknik Industri Otomotif"
"u6745985","2419","Unknown"
"58301","545","D4 - Teknologi Rekayasa Perangkat Lunak"
"u6090101","3531","Unknown"
"u6014849","444","Unknown"
"83205","500","S1 - Pendidikan Teknik Bangunan"
"u6800261","426","Unknown"
"20402","553","D3 - Teknologi Telekomunikasi"
"87211","499","S1 - Pendidikan Tata Niaga"
"48401","3058","D3 - Farmasi"
"u6805349","399","Unknown"
"93303","546","D4 - Manajemen Bisnis Pariwisata"
"u6023794","417","Unknown"
"u5983869","9","Unknown"
"93201","4402","S1 - Industri Perjalanan Wisata"
"61209","626","S1 - Bisnis Digital"
"13363","1080","D4 - Manajemen Informasi Kesehatan"
"u6019317","498","Unknown"
"11210","1122","S1 - Bio informatika"
"70232","3541","S1 - Bimbingan dan Konseling Pendidikan Islam"
"45201","2079","S1 - Fisika"
"74234","3528","S1 - Hukum Ekonomi Syariah (Muamalah)"
"86232","3526","S1 - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)"
"u6755373","185","Unknown"
"86001","381","S3 - Ilmu Pendidikan"
"56201","2428","S1 - Sistem Komputer"
"63201","944","S1 - Ilmu Administrasi Negara"
"u5985594","433","Unknown"
"21302","550","D4 - Tenik Permesinan Kapal"
"20304","539","D4 - Teknik Multimedia Digital"
"60101","526","S2 - Ilmu Ekonomi"
"u6162209","1119","Unknown"
"54101","1410","S2 - Agribisnis"
"u6762606","300","Unknown"
"u6082972","481","Unknown"
"71201","3528","S1 - Ilmu Perpustakaan dan Informasi Islam"
"u5982629","834","Unknown"
"u6815490","6","Unknown"
"87220","1692","S1 - Pendidikan Ekonomi"
"61206","3531","S1 - Perbankan Syariah"
"41211","2390","S1 - Teknologi Industri Pertanian"
"u6117368","8244538","Unknown"
"u6715948","3543","Unknown"
"u6019152","441","Unknown"
"92401","714","D3 - Ketatalaksanaan Pelayaran Niaga dan Pelabuhan"
"u6020678","382","Unknown"
"22303","561","D4 - Teknologi Rekayasa Konstruksi Bangunan Gedung"
"61406","539","D3 - Keuangan Dan Perbankan"
"43353","4433","D4 - Teknologi Laboratorium Medis"
"u6715251","2965","Unknown"
"13453","4429","D3 - Teknologi Laboratorium Medis"
"35611","4326","D1 - Pengukuran dan Pemetaan Kadastral"
"20405","4454","D3 - Teknik Listrik Bandar Udara"
"u6142541","384","Unknown"
"u6088097","3594","Unknown"
"63101","3139","S2 - Ilmu Administrasi Publik"
"56202","2068","S1 - Teknik Komputer"
"25101","1889","S2 - Teknik Lingkungan"
"u6816285","4328","Unknown"
"u6675694","1197","Unknown"
"u6806395","524","Unknown"
"u6715270","3929","Unknown"
"u6675426","3709","Unknown"
"u6042551","441","Unknown"
"614010","1955","D3 - Manajemen"
"35201","8244483","S1 - Perencanaan Wilayah"
"74235","3553","S1 - Hukum Tata Negara (Siyasah Syar'iyyah)"
"u6788004","440","Unknown"
"61308","4478","D4 - Rekayasa Kriptografi"
"u6802327","8","Unknown"
"u6694456","8244628","Unknown"
"u6654469","2060","Unknown"
"63313","8","D4 - Demografi dan Pencatatan Sipil"
"31401","2373","D3 - Teknik Pertambangan"
"u6752418","4060","Unknown"
"u5989148","476","Unknown"
"u6046780","444","Unknown"
"614011","8244495","D3 - Manajemen Transportasi Perairan Daratan"
"93202","409","S1 - Pariwisata"
"36402","2084","D4 - Teknologi Rekayasa Permesinan Kapal"
"61704","4451","S2 Terapan - Pemasaran, Inovasi, dan Teknologi"
"u6744762","4492","Unknown"
"u6020434","2077","Unknown"
"u6733216","4496","Unknown"
"u6162128","398","Unknown"
"u6030512","441","Unknown"
"93308","546","D4 - Manajemen Bisnis Internasional"
"u6443592","392","Unknown"
"u6684374","3524","Unknown"
"u6195938","2097","Unknown"
"86231","3781","S1 - Manajemen Pendidikan Islam"
"u6831323","3531","Unknown"
"u6685930","4496","Unknown"
"u6714165","3552","Unknown"
"u6816853","4328","Unknown"
"u6587060","184","Unknown"
"13201","187","S1 - Kesehatan Masyarakat"
"29202","537","S1 - Teknik Geomatika"
"u6004808","1058","Unknown"
"13331","8360","D4 - Promosi Kesehatan"
"21401","4467","D3 - Teknik Mekanika"
"u6674210","3549","Unknown"
"94202","8244003","S1 - Kewirausahaan"
"u6803922","1418","Unknown"
"u6803111","2095","Unknown"
"u6787910","3543","Unknown"
"u5988317","1135","Unknown"
"u6754954","4328","Unknown"
"u6824756","556","Unknown"
"u6664711","1662","Unknown"
"u6748808","8364","Unknown"
"u6805955","3541","Unknown"
"u6750952","3525","Unknown"
"u6793542","2051","Unknown"
"u6819505","2185","Unknown"
"u6025716","542","Unknown"
"u6020721","442","Unknown"
"u5991205","476","Unknown"
"u6133250","2899","Unknown"
"u6162506","3899","Unknown"
"u6770984","3560","Unknown"
"u6815504","4823","Unknown"
"u6760437","571","Unknown"
"74201","2950","S1 - Ilmu Hukum"
"u6707623","2419","Unknown"
"u6720376","444","Unknown"
"u6722544","4498","Unknown"
"u6728089","4823","Unknown"
"54108","411","S2 - Pertanian Tropika Basah"
"u6795021","499","Unknown"
"u6800056","413","Unknown"
"70230","400","S1 - Manajemen Dakwah"
"u6828071","4165","Unknown"
"u6026198","497","Unknown"
"u6190577","3453","Unknown"
"85271","3037","S1 - Pendidikan Jasmani, Kesehatan, dan Rekreasi"
"u6791043","489","Unknown"
"u6794789","3558","Unknown"
"u6811050","4500","Unknown"
"u6809819","8244510","Unknown"
"u6646599","2564","Unknown"
"u6655467","1099","Unknown"
"13351","4422","D4 - Sanitasi Lingkungan"
"u6716072","1870","Unknown"
"63412","1715","D3 - Kesekretariatan"
"u6821745","539","Unknown"
"u6004858","3556","Unknown"
"u6072033","385","Unknown"
"u6170333","444","Unknown"
"u6644149","384","Unknown"
"20401","1843","D3 - Teknik Elektronika"
"86215","36","S1 - Pendidikan Keagamaan Buddha"
"u6753569","3544","Unknown"
"u6780300","8244474","Unknown"
"70231","3511","S1 - Pengembangan Masyarakat Islam"
"u6816854","4328","Unknown"
"u6819700","8079","Unknown"
"86274","3623","S1 - Manajemen Pendidikan Islam"
"u6810707","1412","Unknown"
"70233","3586","S1 - Komunikasi Penyiaran Islam"
"u5994949","1224","Unknown"
"u5987514","1058","Unknown"
"u6016590","526","Unknown"
"64201","1062","S1 - Ilmu Hubungan Internasional"
"u6038611","2145","Unknown"
"39301","299","D4 - Rekayasa Sistem Transportasi Jalan"
"90241","20","S1 - Desain Komunikasi Visual (Kampus Kota Kediri)"
"u6652807","3956","Unknown"
"47401","4470","D3 - Teknik Kimia Mineral"
"56401","2985","D3 - Teknik Komputer"
"u6802282","1491","Unknown"
"u6820982","500","Unknown"
"u6825767","546","Unknown"
"u6825771","546","Unknown"
"u6827721","1853","Unknown"
"u6199158","3511","Unknown"
"93204","4402","S1 - Akomodasi dan Katering"
"63411","1133","D3 - Administrasi Bisnis"
"70401","1133","D3 - Hubungan Masyarakat"
"u6693070","392","Unknown"
"26304","4460","D4 - Administrasi Bisnis Otomotif"
"u6717151","1395","Unknown"
"u6720582","2535","Unknown"
"u6792267","2478","Unknown"
"u6752683","3522","Unknown"
"u6817469","517","Unknown"
